nombre,edad,correo,genero,provincia,ciudad,disponibilidad,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Dominica Gallard,64,DominicaGallard@micorreo.es,hombre,Ourense,"Carballiño, o",estresemana,mañana,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1052.jpg,42.4300046,-8.0780481
Welton Amihaesei,96,WeltonAmihaesei@micorreo.es,hombre,Almeria,"Gallardos, los",estresemana,tarde,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/966.jpg,37.1468193,-2.0086874
Jarris Del olivo,30,JarrisDel olivo@micorreo.es,hombre,Caceres,Almaraz,estresemana,noche,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/631.jpg,39.8142995,-5.6778882
Sinthia Laspiur,18,SinthiaLaspiur@micorreo.es,hombre,Cordoba,Fernán-núñez,estresemana,mañana,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/430.jpg,37.669931,-4.7253088
Meldoy Travers,44,MeldoyTravers@micorreo.es,mujer,Zamora,Robleda-cervantes,find de semana,mañana,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/725.jpg,42.0770336,-6.587574352610499
Willia Iria,44,WilliaIria@micorreo.es,hombre,Guadalajara,Ablanque,find de semana,tarde,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1630.jpg,40.8981026,-2.2290338
Dessa El korchi,62,DessaEl korchi@micorreo.es,hombre,Islas_baleares,Porreres,estresemana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1082.jpg,39.5168891,3.0227517
Princess Errington,62,PrincessErrington@micorreo.es,mujer,Madrid,Serranillos del valle,estresemana,mañana,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/486.jpg,40.2044509,-3.8851988
Tija Coronet,76,TijaCoronet@micorreo.es,mujer,Madrid,Griñón,estresemana,noche,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/810.jpg,40.2136607,-3.8581479
Adnrew Velin,98,AdnrewVelin@micorreo.es,hombre,Lleida,"Espluga calba, l'",find de semana,tarde,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1736.jpg,41.4958498,1.0039347
Suzann Alierta,31,SuzannAlierta@micorreo.es,hombre,Alicante,Beniarbeig,find de semana,mañana,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/335.jpg,38.8221689,-0.0018612
Linsie Modron,41,LinsieModron@micorreo.es,mujer,Granada,Illora,find de semana,noche,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1158.jpg,37.2885009,-3.8795173
Ahsha Essaih,39,AhshaEssaih@micorreo.es,hombre,Murcia,Calasparra,estresemana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/984.jpg,38.2309457,-1.7000042
Charna Agarrabeitia,83,CharnaAgarrabeitia@micorreo.es,mujer,Asturias,Parres,estresemana,mañana,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/906.jpg,43.3588207,-5.184655747613598
Brittay Penon,54,BrittayPenon@micorreo.es,hombre,Cordoba,Pozoblanco,find de semana,noche,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1378.jpg,38.3780204,-4.848573
Javon Hevia campomanes,77,JavonHevia campomanes@micorreo.es,hombre,Caceres,Guadalupe,find de semana,noche,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/119.jpg,29.6480061,-97.8279576
Lizett El mouyssy,57,LizettEl mouyssy@micorreo.es,mujer,Navarra,Javier,estresemana,noche,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1189.jpg,42.5911918,-1.2086914
Arnel Justiz,71,ArnelJustiz@micorreo.es,mujer,Valencia,Llaurí,find de semana,noche,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/168.jpg,39.1469364,-0.3299823
Gem Chirtes,76,GemChirtes@micorreo.es,hombre,Guipuzcoa,Antzuola,find de semana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/28.jpg,43.0985941,-2.3810959
Iosif D'onofrio,81,IosifD'onofrio@micorreo.es,mujer,Sevilla,Peñaflor,estresemana,mañana,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1712.jpg,37.7084447,-5.3457347
Raissa Marletta,58,RaissaMarletta@micorreo.es,mujer,Madrid,Fresnedillas de la oliva,find de semana,tarde,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1915.jpg,40.486444,-4.1723486
Vickey Frederick,19,VickeyFrederick@micorreo.es,mujer,Teruel,Muniesa,estresemana,noche,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/656.jpg,41.0315677,-0.8099565
Jamahl Antonucci,58,JamahlAntonucci@micorreo.es,hombre,Sevilla,"Cabezas de san juan, las",find de semana,tarde,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1300.jpg,36.988886550000004,-5.933769421201532
Gisel De zayas,90,GiselDe zayas@micorreo.es,mujer,Santa_cruz_de_tenerife,San sebastián de la gomera,find de semana,mañana,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/583.jpg,28.0910382,-17.1110077
Telicia Montes jovellar,64,TeliciaMontes jovellar@micorreo.es,hombre,Alicante,Callosa d'en sarrià,find de semana,tarde,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1039.jpg,38.6505808,-0.1188334
Sheilla Hazan,88,SheillaHazan@micorreo.es,hombre,Granada,Cástaras,find de semana,noche,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1896.jpg,36.9313744,-3.2538159
Sherryl Wick,39,SherrylWick@micorreo.es,mujer,Granada,Juviles,estresemana,mañana,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1661.jpg,36.9481259,-3.2254914
Rebecah Lakdim,98,RebecahLakdim@micorreo.es,hombre,Valencia,Enguera,estresemana,mañana,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/836.jpg,38.9804366,-0.6894299
Daysi Maquiera,74,DaysiMaquiera@micorreo.es,mujer,Castellon,Onda,find de semana,noche,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/393.jpg,39.9621514,-0.2593846
Rodriques Saganta,71,RodriquesSaganta@micorreo.es,mujer,Girona,Sant jaume de llierca,find de semana,mañana,disco,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/640.jpg,42.2119833,2.6074259
Robbyn Marra lopez,43,RobbynMarra lopez@micorreo.es,hombre,Jaen,Porcuna,find de semana,tarde,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1646.jpg,37.8711444,-4.1839946
Gasper Moukhlissi,60,GasperMoukhlissi@micorreo.es,mujer,Madrid,Pelayos de la presa,estresemana,mañana,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/475.jpg,40.3605272,-4.3334254
Pavan Orefice,89,PavanOrefice@micorreo.es,mujer,Murcia,Fortuna,find de semana,noche,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1714.jpg,40.597407,-124.156034
Minette Ouhra,27,MinetteOuhra@micorreo.es,hombre,Cadiz,Espera,estresemana,tarde,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/352.jpg,36.8716918,-5.8060565
Felice Torrientes,21,FeliceTorrientes@micorreo.es,hombre,Toledo,Magán,find de semana,noche,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/948.jpg,39.960903,-3.930717
Travonta Zlatev,80,TravontaZlatev@micorreo.es,mujer,Huesca,Olvena,estresemana,noche,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/802.jpg,42.1071164,0.2602608
Seanpaul Alperte,32,SeanpaulAlperte@micorreo.es,hombre,Ceuta,Ceuta,find de semana,noche,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/746.jpg,35.89442195,-5.355817352394269
Lakeysha Tenempaguay,44,LakeyshaTenempaguay@micorreo.es,hombre,Santa_cruz_de_tenerife,Fuencaliente de la palma,find de semana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/721.jpg,28.507146650000003,-17.84144131977142
Tynell Marjaoui,68,TynellMarjaoui@micorreo.es,hombre,Burgos,Gumiel de mercado,estresemana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1846.jpg,41.7569677,-3.8023633
Tiffeney Olbes,37,TiffeneyOlbes@micorreo.es,hombre,Guadalajara,Bustares,estresemana,mañana,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1002.jpg,41.1357889,-3.0727214
Khaliah Lonjedo,54,KhaliahLonjedo@micorreo.es,hombre,Navarra,Etxarri-aranatz,find de semana,tarde,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/111.jpg,42.907578,-2.0648822
Marlen Gonzalez anleo,88,MarlenGonzalez anleo@micorreo.es,hombre,Cantabria,Entrambasaguas,estresemana,noche,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1449.jpg,43.3776292,-3.6823116
Mahogany Llima,92,MahoganyLlima@micorreo.es,mujer,Huesca,Siétamo,find de semana,mañana,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/653.jpg,42.1244649,-0.2825442
Valeri Lumperdean,69,ValeriLumperdean@micorreo.es,hombre,Zamora,Molezuelas de la carballeda,estresemana,mañana,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/33.jpg,42.0827555,-6.1861859
Mikella Bouhani,50,MikellaBouhani@micorreo.es,mujer,Girona,Vila-sacra,estresemana,mañana,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1407.jpg,42.2668061,3.0170438
Venesha Sindila,47,VeneshaSindila@micorreo.es,mujer,Ceuta,Ceuta,estresemana,tarde,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/221.jpg,35.89442195,-5.355817352394269
Danh Ramirez de haro,75,DanhRamirez de haro@micorreo.es,hombre,Santa_cruz_de_tenerife,Fuencaliente de la palma,estresemana,noche,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/236.jpg,28.507146650000003,-17.84144131977142
Andrei Flocea,46,AndreiFlocea@micorreo.es,mujer,La_rioja,Pradillo,estresemana,tarde,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/669.jpg,42.1773122,-2.6413811
Lydell El mahdi,76,LydellEl mahdi@micorreo.es,mujer,Malaga,Cómpeta,find de semana,noche,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1510.jpg,36.8328154,-3.9746989
Torri Amran,20,TorriAmran@micorreo.es,hombre,Albacete,Villamalea,estresemana,noche,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/13.jpg,39.3623057,-1.5991795
Xavier Gunn,51,XavierGunn@micorreo.es,mujer,Badajoz,Esparragalejo,estresemana,noche,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1854.jpg,38.9442077,-6.4362312
Bela Del pin,48,BelaDel pin@micorreo.es,hombre,Tarragona,Valls,find de semana,noche,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/992.jpg,41.2835355,1.2473637
Rock Mortier,44,RockMortier@micorreo.es,hombre,Pontevedra,Agolada,find de semana,mañana,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/866.jpg,42.762592,-8.0184167
Serafina Estriegana,45,SerafinaEstriegana@micorreo.es,mujer,Avila,Navarrevisca,find de semana,tarde,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2005.jpg,40.3641041,-4.8949471
Brandonlee Villaplanas,45,BrandonleeVillaplanas@micorreo.es,mujer,Girona,Llívia,estresemana,noche,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/721.jpg,42.4640786,1.9804293
Micahel Bertozzi,57,MicahelBertozzi@micorreo.es,mujer,La_rioja,Navajún,find de semana,noche,disco,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1821.jpg,41.964573,-2.0987907
Hollyn Wagne,25,HollynWagne@micorreo.es,mujer,Lugo,Muras,estresemana,tarde,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2024.jpg,43.4678344,-7.7231351
Xavion Cioroiu,82,XavionCioroiu@micorreo.es,mujer,Zamora,Santa cristina de la polvorosa,estresemana,noche,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1520.jpg,42.0006481,-5.7123518
Suzzanne Kluge,91,SuzzanneKluge@micorreo.es,hombre,Badajoz,Puebla de la reina,find de semana,noche,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/488.jpg,38.6642477,-6.1025897
Shenia Duraho,37,SheniaDuraho@micorreo.es,hombre,Burgos,Santibáñez del val,find de semana,tarde,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1407.jpg,41.9739206,-3.4808536
Lakia Alvarruiz,66,LakiaAlvarruiz@micorreo.es,hombre,Lugo,Bóveda,estresemana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/27.jpg,42.6240523,-7.4847221
Danni Sagastegui,68,DanniSagastegui@micorreo.es,mujer,Pontevedra,Vila de cruces,estresemana,tarde,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/144.jpg,42.7937228,-8.1699391
Kanoe Rodriguez vila,50,KanoeRodriguez vila@micorreo.es,hombre,Valencia,Quartell,estresemana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/37.jpg,39.7373882,-0.2640069
Richerd Lui,60,RicherdLui@micorreo.es,hombre,Cadiz,Torre alháquime,estresemana,noche,bar,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1391.jpg,36.9156897,-5.2347672
Alonia Bañuz,83,AloniaBañuz@micorreo.es,mujer,Madrid,Tres cantos,find de semana,mañana,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1869.jpg,40.6065826,-3.7065333
Lela Majua,91,LelaMajua@micorreo.es,mujer,Segovia,Vegas de matute,estresemana,mañana,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/575.jpg,40.7950056,-4.2777553
Caylin Bouchouari,73,CaylinBouchouari@micorreo.es,mujer,Malaga,Alfarnatejo,estresemana,noche,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1221.jpg,36.9790622,-4.2724898
Rupert Mileva,45,RupertMileva@micorreo.es,hombre,Zaragoza,Tobed,find de semana,tarde,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1209.jpg,41.3382869,-1.4006339
Jeromey Polido,36,JeromeyPolido@micorreo.es,mujer,Barcelona,Folgueroles,estresemana,noche,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1823.jpg,41.9392868,2.3180742
Billiejo Esculta,32,BilliejoEsculta@micorreo.es,hombre,Jaen,Quesada,estresemana,tarde,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/163.jpg,37.8429817,-3.0669209
Kavitha Jabli,61,KavithaJabli@micorreo.es,hombre,La_rioja,Muro en cameros,estresemana,tarde,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/664.jpg,42.2254596,-2.529888
Alicia Zani,38,AliciaZani@micorreo.es,hombre,Granada,Alfacar,find de semana,mañana,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/938.jpg,37.2383551,-3.5663721
Karalyn Mee,64,KaralynMee@micorreo.es,hombre,Murcia,Ceutí,find de semana,mañana,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1390.jpg,38.0776952,-1.2741301
Dashonda Bedriñana,90,DashondaBedriñana@micorreo.es,mujer,Almeria,Albox,estresemana,noche,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/289.jpg,37.3880282,-2.1455544
Tramane De guindos,90,TramaneDe guindos@micorreo.es,mujer,Santa_cruz_de_tenerife,San cristóbal de la laguna,find de semana,tarde,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1746.jpg,28.4857715,-16.3159422
Jacquana Azghay,54,JacquanaAzghay@micorreo.es,hombre,Pontevedra,Arbo,find de semana,tarde,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/929.jpg,42.1122944,-8.3123868
Sona Beiste,44,SonaBeiste@micorreo.es,hombre,Leon,Ponferrada,estresemana,tarde,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2022.jpg,42.5454124,-6.5938719
Dona Sedik,99,DonaSedik@micorreo.es,mujer,Avila,Pozanco,estresemana,noche,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/698.jpg,40.800288,-4.6683059
Glen Mesaud,92,GlenMesaud@micorreo.es,hombre,Madrid,Villamantilla,estresemana,noche,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1826.jpg,40.3421033,-4.1300303
Charon Acu,77,CharonAcu@micorreo.es,mujer,Tarragona,Gratallops,find de semana,noche,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1133.jpg,41.1934056,0.7768701
Jerardo Canillo,54,JerardoCanillo@micorreo.es,hombre,Burgos,Manciles,find de semana,mañana,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1633.jpg,42.456051,-3.9451813
Verena Colucci,46,VerenaColucci@micorreo.es,mujer,Cadiz,Villamartín,find de semana,tarde,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/854.jpg,36.8591822,-5.6434544
Cyler Peulach,97,CylerPeulach@micorreo.es,mujer,La_rioja,Fonzaleche,find de semana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1392.jpg,42.5815093,-3.011968
Kennetta Yasin,98,KennettaYasin@micorreo.es,mujer,Lleida,Castell de mur,find de semana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/488.jpg,42.1209291,0.796629
Thong Dawid,59,ThongDawid@micorreo.es,mujer,Jaen,Alcalá la real,estresemana,tarde,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/12.jpg,37.4619794,-3.922384
Marisel Rutherford,80,MariselRutherford@micorreo.es,hombre,Guadalajara,Yebes,estresemana,noche,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/645.jpg,40.5331907,-3.1107441
Rosenda En nouali,34,RosendaEn nouali@micorreo.es,mujer,Castellon,Santa magdalena de pulpis,estresemana,noche,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/301.jpg,40.3564136,0.3031558
Magalie Skrzypczak,30,MagalieSkrzypczak@micorreo.es,hombre,Salamanca,Navasfrías,find de semana,noche,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1927.jpg,40.2959784,-6.8192419
Rachale Bainat,34,RachaleBainat@micorreo.es,mujer,Cantabria,Val de san vicente,estresemana,tarde,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/216.jpg,43.36462965,-4.4785760606072005
Janifer Harrous,40,JaniferHarrous@micorreo.es,hombre,Cordoba,Villaharta,find de semana,noche,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1016.jpg,38.1400552,-4.9037865
Sariah Lampreave,89,SariahLampreave@micorreo.es,mujer,Girona,Llívia,estresemana,mañana,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/563.jpg,42.4640786,1.9804293
Kristen Areu,80,KristenAreu@micorreo.es,mujer,Valladolid,Canalejas de peñafiel,find de semana,tarde,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1310.jpg,41.5259435,-4.1160956
Lawerence Espiell,62,LawerenceEspiell@micorreo.es,hombre,Zamora,San pedro de ceque,estresemana,tarde,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1212.jpg,42.0432719,-6.0736153
Ramina Fernandez de henestrosa,76,RaminaFernandez de henestrosa@micorreo.es,mujer,Soria,"Losilla, la",estresemana,tarde,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/244.jpg,39.9665417,-1.0929647
Catherina Gabucio,21,CatherinaGabucio@micorreo.es,mujer,Vizcaya,Galdames,find de semana,mañana,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/278.jpg,43.2541103,-3.097637
Lakedia Lahfidi,20,LakediaLahfidi@micorreo.es,mujer,Tarragona,Banyeres del penedès,estresemana,tarde,disco,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/172.jpg,41.2791532,1.5813324
Krissy Garcia casillas,40,KrissyGarcia casillas@micorreo.es,mujer,Melilla,Melilla,estresemana,mañana,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/339.jpg,35.29291145,-2.950720236037561
Cala Delev,69,CalaDelev@micorreo.es,mujer,Segovia,Zarzuela del monte,estresemana,tarde,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1610.jpg,40.808853,-4.3358547
Ashly Abengoza,23,AshlyAbengoza@micorreo.es,mujer,Sevilla,"Rubio, el",estresemana,tarde,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1745.jpg,39.7410904,-0.3349232
Kelse Snell,71,KelseSnell@micorreo.es,hombre,Guipuzcoa,Lezo,find de semana,tarde,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/380.jpg,43.3212392,-1.8996138
Ector Bordal,43,EctorBordal@micorreo.es,mujer,Lleida,"Pont de suert, el",find de semana,tarde,disco,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/830.jpg,41.6123324,0.6358651
Raffi Atti,98,RaffiAtti@micorreo.es,mujer,Almeria,Zurgena,estresemana,tarde,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/732.jpg,37.3421871,-2.0393486
Rhiana Marincea,40,RhianaMarincea@micorreo.es,hombre,Vizcaya,Arantzazu,find de semana,noche,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/175.jpg,43.156731,-2.7905895
Alonza Wierzbicka,76,AlonzaWierzbicka@micorreo.es,mujer,Segovia,Cuéllar,estresemana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1060.jpg,41.3997643,-4.3150702
